WHITE,HISP,BLACK,ASIAN,OTHER,UND19,A20_34,A35_49,A50_64,A65_79,OV80,MED_AGE,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,MED_HV,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,GEOG,TOT_POP,TOT_HH,MED_ROOMS
14932,24892,2337,7883,1531,13354,13738,11975,8232,2329,1947,33.6876257545272,29653,27243,2339,11394,274438.454627134,3627,3835,2967,2091,2259,1632,55560.9573672401,Albany Park,51575,16411,5.355693868142
2477,10178,79,439,60,4016,2933,2879,1897,907,600,33.0616996507567,6700,6038,662,3312,179387.417218543,946,1149,787,384,493,148,44948.5596707819,Archer Heights,13233,3906,5.56830188679245
1599,423,1248,10299,130,2997,2824,2539,2541,1371,1428,42.0582010582011,6688,5879,809,4848,280661.764705882,2483,1136,648,324,425,149,26543.2098765432,Armour Square,13699,5165,4.81700288184438
5044,16374,20721,314,830,12983,8368,8998,8477,2855,1602,35.5075122292103,22477,19608,2869,10608,159912.065894924,2021,2673,2653,2166,2215,1105,65498.638529612,Ashburn,43283,12833,6.56504182290164
257,614,44267,153,479,11432,9224,7941,9587,4041,3545,39.657333890514,20671,15788,4876,16316,130068.161829376,7497,4448,2661,1297,1054,322,29820.6751054852,Auburn Gresham,45770,17279,5.84269551409289
4407,12270,79668,475,791,27986,20929,18001,18709,7336,4650,34.9148654952573,41617,34244,7364,33790,164494.833524684,13062,8848,4561,2583,2362,963,31919.5475885617,Austin,97611,32379,5.76959093149335
37,68,9573,19,99,2150,1676,1668,2329,1045,928,44.8385689354276,4294,3255,1039,3923,160743.801652893,1387,986,478,488,343,191,37670.9401709402,Avalon Park,9795,3873,6.34033613445378
11898,23368,800,1340,785,9226,12162,7750,5307,2173,1573,32.4499443826474,21034,19633,1401,9678,278036.105032823,3221,3890,2537,1428,1391,1051,47714.2857142857,Avondale,38191,13518,5.5351885924563
10859,62945,2194,1333,775,24443,17805,17084,12405,4072,2297,32.5081864961796,40700,36277,4406,17725,207223.360655738,5462,6412,4662,2118,2490,796,44795.7271364318,Belmont Cragin,78107,21941,5.66316295685628
12043,1200,7047,89,457,5367,2802,4448,5214,1918,1087,42.962577962578,10866,10152,714,5586,290044.247787611,744,1180,1105,1212,1337,2032,91006.600660066,Beverly,20836,7610,7.20115356885364
10955,8160,863,12193,618,6667,8973,6270,7157,2211,1510,36.7716165413534,18073,16279,1794,9319,267845.303867403,3609,3458,2099,1274,1218,882,42629.6542553191,Bridgeport,32789,12540,5.25365025466893
2798,37468,453,3253,259,14750,10005,10001,6233,1898,1344,31.1966858789625,20782,18383,2397,11882,167159.624413146,3455,4329,2134,1062,819,386,38673.0969760167,Brighton Park,44231,12185,5.35441101478837
11,0,2419,0,12,687,463,315,447,313,217,38.6979166666667,1029,840,189,932,99953.2710280374,473,226,49,95,63,20,24462.3655913979,Burnside,2442,926,5.78835978835979
161,465,12566,12,102,2509,1883,2803,2875,1661,1575,47.0797413793103,6306,5395,911,5095,154961.587708067,1476,1276,904,758,695,189,48160.7142857143,Calumet Heights,13306,5298,6.44353562005277
459,311,29836,93,291,7677,5925,5494,7135,2159,2600,39.5758820686322,15032,12161,2871,9547,150807.195571956,5551,3558,1993,1183,933,316,32348.2142857143,Chatham,30991,13534,5.44468423443889
1973,26109,25023,304,856,17878,12399,10881,8698,2865,1544,31.1025037183937,25890,20233,5657,14279,122447.129909366,6195,4867,2299,1362,852,340,33616.303219107,Chicago Lawn,54265,15915,5.73454414241039
11672,12527,340,361,300,6556,5422,5525,4469,1837,1391,36.8091913903432,13478,12123,1355,6280,188020.231213873,1598,1790,1887,1415,1417,547,62908.1632653061,Clearing,25200,8654,5.70733061828952
2356,649,14460,2639,455,4152,6316,3743,3413,1476,1459,34.2897513187641,9861,8281,1580,8025,229200.0,4438,1895,1478,770,495,414,29398.2808022923,Douglas,20559,9490,3.93581495098039
27862,12559,895,1755,373,10152,8785,8509,9174,3866,2958,40.3324194653873,23573,22193,1311,11663,227975.625197847,2915,3612,2633,2463,2654,1259,61589.5953757225,Dunning,43444,15536,5.82511105915361
1079,711,18147,80,208,6430,5031,3571,3298,1071,825,30.3578802477632,7488,6119,1369,7425,174702.380952381,3551,1466,703,618,388,199,24000.0,East Garfield Park,20225,6925,5.52010658914729
3929,18387,562,66,38,7426,4751,4503,3979,1183,1140,32.6901076716016,11240,9170,2050,6139,121557.80075188,1786,2030,1148,947,669,249,42917.8272980501,East Side,22982,6828,6.06918093475243
30615,9081,7592,6430,1712,8155,16364,12013,11269,4434,3195,38.4784501523727,34046,31680,2366,15746,238680.25751073,8023,6735,5020,3033,3117,2739,47636.4142538976,Edgewater,55430,28667,4.32538988485643
9760,749,148,236,114,2399,2211,2487,2141,803,966,41.6229838709677,6366,6105,261,2588,336143.039591315,412,810,562,739,669,1273,90172.5304465494,Edison Park,11008,4465,6.00929899856938
204,756,24690,62,308,8303,6249,3883,4497,1734,1354,31.0803253685816,10149,6564,3585,9137,101449.742268041,5360,2258,775,418,304,76,20111.8925831202,Englewood,26020,9191,5.71258779038358
13669,2440,169,1976,397,5085,2678,4039,3831,1438,1580,41.3732394366197,9763,9265,498,4421,411979.913916786,701,856,753,755,1482,2131,108145.734597156,Forest Glen,18651,6678,7.02848318462594
123,141,2175,16,2,502,446,364,538,391,217,47.1180555555556,968,697,271,1045,109267.24137931,603,281,86,52,61,6,22456.1403508772,Fuller Park,2457,1089,5.21698113207547
1432,37904,1352,191,47,14756,10039,8526,4966,1800,839,28.2690217391304,19487,16456,3031,9397,124482.044198895,2698,3451,1836,983,606,146,40195.0867052023,Gage Park,40926,9720,5.67806377257011
16196,17229,1431,305,309,9143,6423,7688,6896,2891,2429,38.93219724438,18017,16204,1813,10104,197472.002635046,2075,2699,2277,1408,2183,1366,63129.2517006803,Garfield Ridge,35470,12008,5.95488450433109
570,373,20503,89,521,6025,4319,4948,3559,1863,1342,36.9643882825962,10296,8252,2044,6842,194917.582417582,4525,1890,1343,796,754,535,29686.7612293144,Grand Boulevard,22056,9843,5.02726653033401
