area,area_num_1,area_numbe,comarea,comarea_id,community,perimeter,shape_area,shape_len,coeff,bias,condo_coeff,condo_bias,sf_coeff,sf_bias,mf_coeff,mf_bias
0.0,35,35,0.0,0.0,DOUGLAS,0.0,46004621.1581,31027.0545098,7549.13868631626,256525.61909000037,14788.750463493145,175071.10495117717,-22180.646184207188,595113.6494277004,-118417.50683846542,809197.0875484771
0.0,36,36,0.0,0.0,OAKLAND,0.0,16913961.0408,19565.5061533,10273.043830834338,358994.69562575995,-574.3049013548622,300872.4431946995,1435.1883718546915,572516.6485272088,0.0,0.0
0.0,37,37,0.0,0.0,FULLER PARK,0.0,19916704.8692,25339.0897503,44543.12431647842,87021.37563479529,377914.8414225726,156168.21447344997,52218.505171040364,86738.35446136801,30575.23971576849,160016.62373451804
0.0,38,38,0.0,0.0,GRAND BOULEVARD,0.0,48492503.1554,28196.8371573,57361.55878098517,321701.1241878884,19979.420941129218,240203.55454599712,19130.79684403668,557839.9127943101,-7073.066109646601,622188.3823268827
0.0,39,39,0.0,0.0,KENWOOD,0.0,29071741.9283,23325.1679062,-8946.285763947695,400784.51230242447,5271.4891368190865,235368.70394249976,-194232.14455980386,1288794.6665481764,-147312.94777858787,648191.9339308596
0.0,4,4,0.0,0.0,LINCOLN SQUARE,0.0,71352328.2399,36624.6030848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,40,40,0.0,0.0,WASHINGTON PARK,0.0,42373881.4842,28175.3160866,42790.00933654429,220445.00680751746,2926.524152767216,160393.81904313114,-12049.642585508767,278469.64215457614,141029.5361486,313713.37608509744
0.0,41,41,0.0,0.0,HYDE PARK,0.0,45105380.1732,29746.7082016,13250.339004138594,286438.63995052193,10413.750622017658,210523.67832782047,-10052.028712262692,1085795.5802694808,15170.164331406157,842428.6986065813
0.0,42,42,0.0,0.0,WOODLAWN,0.0,57815179.512,46936.9592443,7950.990040317235,330049.77665943885,-6440.010798707468,248649.24117582175,37306.89287754743,389134.40863820026,-2837.2146575422394,396418.7702779495
0.0,1,1,0.0,0.0,ROGERS PARK,0.0,51259902.4506,34052.3975757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,11,11,0.0,0.0,JEFFERSON PARK,0.0,64868161.6818,44011.9571704,-2631.4499256996146,394080.34470678313,2682.929990989287,196823.40872991818,-215.98959280070534,425918.57184773067,12225.429050071923,461057.7921320451
0.0,12,12,0.0,0.0,FOREST GLEN,0.0,89130893.6364,74493.821604,-11310.473771150562,575180.2655807596,34115.674139180934,263280.51769346854,-5748.352571440249,584767.3805709148,-3803.825743018376,509433.5002392885
0.0,13,13,0.0,0.0,NORTH PARK,0.0,70288706.4343,41581.9486539,7028.787528053693,400387.8994272163,11337.122974650336,212865.90233833896,6392.720918438175,493253.53713745996,56815.63666646354,518299.47137147025
0.0,14,14,0.0,0.0,ALBANY PARK,0.0,53542230.8191,39339.0164387,29506.483503275173,348908.79083278484,42747.737767761784,201038.95224130928,7951.257106132739,557259.9632363897,22145.283644554078,499283.0119320615
