area,area_num_1,area_numbe,comarea,comarea_id,community,perimeter,shape_area,shape_len,coeff,bias,condo_coeff,condo_bias,sf_coeff,sf_bias,mf_coeff,mf_bias
0.0,35,35,0.0,0.0,DOUGLAS,0.0,46004621.1581,31027.0545098,39800.02331469683,-80134825.6054566,27938.23839505827,-56273200.23327052,30858.159380887726,-61878288.5295156,49425.73979505373,-99440495.91235131
0.0,36,36,0.0,0.0,OAKLAND,0.0,16913961.0408,19565.5061533,31086.83671357594,-62448169.25042417,36749.07509423153,-73941317.88793279,58939.31191812315,-118588890.13182802,1483199.9999982512,-2994926399.996467
0.0,37,37,0.0,0.0,FULLER PARK,0.0,19916704.8692,25339.0897503,48386.26261216143,-97617923.9068871,49.508899224635606,99999.99999999999,53259.46451918559,-107424899.21384399,16041.70461804335,-32300807.482357018
0.0,38,38,0.0,0.0,GRAND BOULEVARD,0.0,48492503.1554,28196.8371573,51308.1562965893,-103310915.35960512,49492.61829552741,-99746498.68702751,24572.577989300666,-49117981.81140939,89061.59265054487,-179485783.01770252
0.0,39,39,0.0,0.0,KENWOOD,0.0,29071741.9283,23325.1679062,61852.31720622723,-124599557.57539362,23917.35969401574,-48080706.05158218,310816.8736563018,-627026707.2162687,64035.99220557791,-128971723.20252058
0.0,4,4,0.0,0.0,LINCOLN SQUARE,0.0,71352328.2399,36624.6030848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,40,40,0.0,0.0,WASHINGTON PARK,0.0,42373881.4842,28175.3160866,85859.71399387144,-173246851.14403364,43918.65327284677,-88594618.24112286,-55175.74690221706,111520747.47759575,90809.74030754117,-183155648.3011527
0.0,41,41,0.0,0.0,HYDE PARK,0.0,45105380.1732,29746.7082016,28500.880749123542,-57243666.74694422,15774.327007380669,-31657963.732016988,53574.91817927603,-107313388.00283863,-1180509.0164930557,2385082329.571249
0.0,42,42,0.0,0.0,WOODLAWN,0.0,57815179.512,46936.9592443,17600.05723321326,-35312539.021474905,12794.026972375417,-25651783.781203136,-62620.1432906572,126832589.16849147,56129.349227987484,-113129695.7414482
0.0,1,1,0.0,0.0,ROGERS PARK,0.0,51259902.4506,34052.3975757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
