SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,5555 S Everett Ave Unit C8,Chicago,IL,60637,289900,3,2.0,Jackson Tower,2200,,1920,3,132,1839,Active,,,https://www.redfin.com/IL/Chicago/5555-S-Everett-Ave-60637/unit-C8/home/13946481,MRED as Distributed by MLS Grid,11925816,N,Y,41.7938179,-87.581958
MLS Listing,,Condo/Co-op,222 S Racine Ave #507,Chicago,IL,60607,448000,2,2.0,CHI - Near West Side,1425,,1997,4,314,519,Active,,,https://www.redfin.com/IL/Chicago/222-S-Racine-Ave-60607/unit-507/home/12712797,MRED as Distributed by MLS Grid,11928040,N,Y,41.8783928,-87.6572885
MLS Listing,,Single Family Residential,2106 N Whipple St,Chicago,IL,60647,650000,4,3.0,CHI - Logan Square,1200,3484,1887,4,542,,Active,,,https://www.redfin.com/IL/Chicago/2106-N-Whipple-St-60647/home/188371660,MRED as Distributed by MLS Grid,11923295,N,Y,41.9195511,-87.7041466
MLS Listing,,Condo/Co-op,5306 N Cumberland Ave #314,Chicago,IL,60656,199900,2,2.0,CHI - O'Hare,1100,,1976,4,182,416,Active,,,https://www.redfin.com/IL/Chicago/5306-N-Cumberland-Ave-60656/unit-314/home/40368815,MRED as Distributed by MLS Grid,11921820,N,Y,41.976334,-87.8377992
MLS Listing,,Condo/Co-op,6906 N Lakewood Ave Unit 3W,Chicago,IL,60626,280000,2,2.0,CHI - Rogers Park,1100,,1915,4,255,337,Active,,,https://www.redfin.com/IL/Chicago/6906-N-Lakewood-Ave-60626/unit-3W/home/12597534,MRED as Distributed by MLS Grid,11925592,N,Y,42.0070479,-87.6639822
MLS Listing,,Condo/Co-op,2321 W Harrison St #1,Chicago,IL,60612,195000,1,1.0,CHI - Near West Side,700,,1878,4,279,200,Active,,,https://www.redfin.com/IL/Chicago/2321-W-Harrison-St-60612/unit-1/home/12711935,MRED as Distributed by MLS Grid,11923807,N,Y,41.8737277,-87.6847155
MLS Listing,,Condo/Co-op,4535 N Long Ave Unit 3A,Chicago,IL,60630,285000,3,2.0,CHI - Portage Park,1297,,1972,4,220,342,Active,,,https://www.redfin.com/IL/Chicago/4535-N-Long-Ave-60630/unit-3A/home/13479821,MRED as Distributed by MLS Grid,11830343,N,Y,41.9636048,-87.7622515
MLS Listing,,Condo/Co-op,818 W Aldine Ave #2,Chicago,IL,60657,585000,2,2.0,CHI - Lake View,1648,,2004,4,355,153,Active,,,https://www.redfin.com/IL/Chicago/818-W-Aldine-Ave-60657/unit-2/home/12659463,MRED as Distributed by MLS Grid,11925675,N,Y,41.9420461,-87.6501518
MLS Listing,,Condo/Co-op,757 N Orleans St #1408,Chicago,IL,60654,359900,1,1.5,CHI - Near North Side,1070,,2008,5,336,632,Active,,,https://www.redfin.com/IL/Chicago/757-N-Orleans-St-60654/unit-1408/home/52637273,MRED as Distributed by MLS Grid,11927138,N,Y,41.8963014,-87.6365635
MLS Listing,,Condo/Co-op,5922 N Magnolia Ave Unit 1S,Chicago,IL,60660,340000,2,2.0,CHI - Edgewater,1500,,1910,5,227,364,Active,,,https://www.redfin.com/IL/Chicago/5922-N-Magnolia-Ave-60660/unit-1S/home/22833122,MRED as Distributed by MLS Grid,11922781,N,Y,41.9897978,-87.6618981
MLS Listing,,Condo/Co-op,6335 N Bell Ave #1,Chicago,IL,60659,379900,3,2.0,CHI - West Ridge,2300,,1917,5,165,432,Active,,,https://www.redfin.com/IL/Chicago/6335-N-Bell-Ave-60659/unit-1/home/12776002,MRED as Distributed by MLS Grid,11914927,N,Y,41.9971357,-87.6859752
MLS Listing,,Multi-Family (2-4 Unit),3904 W Montrose Ave,Chicago,IL,60618,320000,7,3.0,CHI - Albany Park,,3484,1895,5,,,Active,,,https://www.redfin.com/IL/Chicago/3904-W-Montrose-Ave-60618/home/13486509,MRED as Distributed by MLS Grid,11926893,N,Y,41.9611735,-87.7256942
MLS Listing,,Single Family Residential,1727 W Julian St,Chicago,IL,60622,1275000,4,4.5,CHI - West Town,4046,2395,1999,5,315,,Active,,,https://www.redfin.com/IL/Chicago/1727-W-Julian-St-60622/home/14107765,MRED as Distributed by MLS Grid,11926002,N,Y,41.9081095,-87.6712317
MLS Listing,,Condo/Co-op,1450 N Fairfield Ave Unit 3R,Chicago,IL,60622,219900,2,1.0,CHI - West Town,950,,2003,5,231,137,Active,,,https://www.redfin.com/IL/Chicago/1450-N-Fairfield-Ave-60622/unit-3R/home/18917855,MRED as Distributed by MLS Grid,11926573,N,Y,41.9080844,-87.6960676
