SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,LATITUDE,LONGITUDE
,Condo/Co-op,5555 S Everett Ave Unit C8,Chicago,IL,60637.0,289900.0,3.0,2.0,2200.0,,1920.0,3.0,132.0,1839.0,41.7938179,-87.581958
,Condo/Co-op,222 S Racine Ave #507,Chicago,IL,60607.0,448000.0,2.0,2.0,1425.0,,1997.0,4.0,314.0,519.0,41.8783928,-87.6572885
,Single Family Residential,2106 N Whipple St,Chicago,IL,60647.0,650000.0,4.0,3.0,1200.0,3484.0,1887.0,4.0,542.0,,41.9195511,-87.7041466
,Condo/Co-op,5306 N Cumberland Ave #314,Chicago,IL,60656.0,199900.0,2.0,2.0,1100.0,,1976.0,4.0,182.0,416.0,41.976334,-87.8377992
,Condo/Co-op,6906 N Lakewood Ave Unit 3W,Chicago,IL,60626.0,280000.0,2.0,2.0,1100.0,,1915.0,4.0,255.0,337.0,42.0070479,-87.6639822
,Condo/Co-op,2321 W Harrison St #1,Chicago,IL,60612.0,195000.0,1.0,1.0,700.0,,1878.0,4.0,279.0,200.0,41.8737277,-87.6847155
,Condo/Co-op,4535 N Long Ave Unit 3A,Chicago,IL,60630.0,285000.0,3.0,2.0,1297.0,,1972.0,4.0,220.0,342.0,41.9636048,-87.7622515
,Condo/Co-op,818 W Aldine Ave #2,Chicago,IL,60657.0,585000.0,2.0,2.0,1648.0,,2004.0,4.0,355.0,153.0,41.9420461,-87.6501518
,Condo/Co-op,757 N Orleans St #1408,Chicago,IL,60654.0,359900.0,1.0,1.5,1070.0,,2008.0,5.0,336.0,632.0,41.8963014,-87.6365635
,Condo/Co-op,5922 N Magnolia Ave Unit 1S,Chicago,IL,60660.0,340000.0,2.0,2.0,1500.0,,1910.0,5.0,227.0,364.0,41.9897978,-87.6618981
,Condo/Co-op,6335 N Bell Ave #1,Chicago,IL,60659.0,379900.0,3.0,2.0,2300.0,,1917.0,5.0,165.0,432.0,41.9971357,-87.6859752
,Multi-Family (2-4 Unit),3904 W Montrose Ave,Chicago,IL,60618.0,320000.0,7.0,3.0,,3484.0,1895.0,5.0,,,41.9611735,-87.7256942
,Single Family Residential,1727 W Julian St,Chicago,IL,60622.0,1275000.0,4.0,4.5,4046.0,2395.0,1999.0,5.0,315.0,,41.9081095,-87.6712317
,Condo/Co-op,1450 N Fairfield Ave Unit 3R,Chicago,IL,60622.0,219900.0,2.0,1.0,950.0,,2003.0,5.0,231.0,137.0,41.9080844,-87.6960676
,Single Family Residential,3435 N Tripp Ave,Chicago,IL,60641.0,549000.0,5.0,3.5,2305.0,3750.0,1915.0,6.0,238.0,,41.9436986,-87.7331907
,Single Family Residential,6733 S Tripp Ave,Chicago,IL,60629.0,399000.0,6.0,3.0,2709.0,3746.0,1955.0,6.0,147.0,,41.770308,-87.7282472
,Multi-Family (5+ Unit),1500 S Lawndale Ave,Chicago,IL,60623.0,675000.0,19.0,10.0,10.0,3406.0,1911.0,6.0,67500.0,,41.8606667,-87.718066
,Condo/Co-op,2524 N Willetts Ct Unit 1LN,Chicago,IL,60647.0,244900.0,1.0,1.0,750.0,,2007.0,7.0,327.0,234.0,41.9274554,-87.7033377
,Single Family Residential,757 S Kedvale Ave,Chicago,IL,60624.0,275000.0,5.0,2.0,2000.0,3092.0,1900.0,10.0,138.0,,41.870921,-87.7287474
,Condo/Co-op,8758 W Berwyn Ave Unit 2N,Chicago,IL,60656.0,275000.0,3.0,2.0,1300.0,,1977.0,10.0,212.0,540.0,41.9753176,-87.8461862
,Multi-Family (5+ Unit),1707 W 21st St,Chicago,IL,60608.0,900000.0,14.0,7.0,3726.0,6250.0,1900.0,11.0,242.0,,41.8538696,-87.6688891
,Condo/Co-op,111 W Maple St #1802,Chicago,IL,60610.0,450000.0,2.0,2.0,1250.0,,1989.0,11.0,360.0,933.0,41.9016475,-87.6318546
,Condo/Co-op,728 W Jackson Blvd #1104,Chicago,IL,60661.0,399900.0,2.0,2.0,1438.0,,1915.0,11.0,278.0,690.0,41.8784074,-87.6449683
,Single Family Residential,2535 S Mary St,Chicago,IL,60608.0,649900.0,5.0,3.5,2494.0,3740.0,2006.0,11.0,261.0,,41.8458153,-87.6527128
,Single Family Residential,2309 N Geneva Ter,Chicago,IL,60614.0,3095000.0,7.0,6.5,8000.0,2574.0,1893.0,11.0,387.0,,41.9241175,-87.6436681
,Condo/Co-op,450 W Armitage Ave #1,Chicago,IL,60614.0,465000.0,2.0,2.0,,,1888.0,11.0,,300.0,41.9184138,-87.640858
,Condo/Co-op,1729 N Artesian Ave #2,Chicago,IL,60647.0,499900.0,2.0,2.0,1200.0,,2021.0,11.0,417.0,170.0,41.913025,-87.688165
,Single Family Residential,2207 N Mulligan Ave,Chicago,IL,60639.0,285000.0,2.0,1.0,1056.0,,1944.0,11.0,270.0,,41.9206107,-87.783937
,Condo/Co-op,5321 N Lincoln Ave Unit 4A,Chicago,IL,60625.0,400000.0,2.0,2.0,1500.0,,2005.0,11.0,267.0,383.0,41.9783722,-87.6922792
,Condo/Co-op,4218 S King Dr Unit 1N,Chicago,IL,60653.0,250000.0,3.0,2.0,1465.0,,2004.0,11.0,171.0,250.0,41.8178568,-87.6174066
,Condo/Co-op,4857 N Bernard St #1,Chicago,IL,60625.0,249900.0,2.0,1.0,1100.0,,1919.0,12.0,227.0,285.0,41.9700471,-87.7143352
,Townhouse,1646 W Julian St Unit B,Chicago,IL,60622.0,680000.0,3.0,2.5,2400.0,,1995.0,12.0,283.0,113.0,41.9085293,-87.6694571
,Condo/Co-op,60 E Monroe St #3905,Chicago,IL,60603.0,445000.0,1.0,1.0,,,2006.0,12.0,,701.0,41.8809978,-87.6256565
